last_delivered,period,outlier,month_value,price,active,customer_id,product_id
2019-01-15,365,366,0,17.75,t,4,144
2019-01-15,365,366,0,5.2,t,4,430
2019-02-28,14,34,859.52,13.43,t,1,86
2018-12-31,365,366,16.8,16.8,t,4,370
2019-02-02,365,366,0,7.45,t,12,173
2019-01-19,39,78,16.99,16.99,t,7,564
2019-01-08,49,59,10.45,4.18,t,5,293
2019-02-23,12,26,41.5,8.3,t,7,1312
2019-02-02,365,366,0,18,t,12,584
2019-01-19,17,24,32.4,24.3,t,11,472
2019-02-27,11,17,913.51,-22.2,t,152669,292234
2019-02-21,77,93,17.5,17.5,t,19,661
2019-01-04,17,21,39,6.5,f,5,26
2018-12-29,365,366,0,19.9,t,4,115
2019-02-02,64,77,4.75,4.75,t,26,676
2019-01-08,365,366,0,17,t,18,661
2019-02-26,19,29,311.75,21.5,t,4,31
2019-02-02,365,366,0,33.1,t,28,881
2019-02-02,365,366,0,23.55,t,28,2995
2019-03-01,43,52,25,25,t,7,542
2018-12-29,45,65,8.75,10.5,t,248,2
2019-02-01,2,11,21.6,45,t,4,104
2019-01-19,365,366,0,8.25,t,23,425
2019-03-02,365,366,0,5.6,t,26,1759
2019-01-10,16,25,58.27,2.3,t,11,153
2018-12-29,365,366,0,56,t,260,260
2018-12-20,365,366,0,4.8,t,13,675
2019-02-28,7,11,1296.98,29.95,t,152530,292210
2018-12-29,365,366,0,6.3,t,260,592
2019-02-26,33,48,57,22.8,t,4,543
2019-02-02,365,366,0,8.4,t,29,18
2019-02-28,35,42,16.23,16.65,t,3,522
2019-01-17,365,366,0,18.6,t,7,585
2019-02-23,365,366,0,39.4,t,4,511
2019-02-15,365,366,0,24.75,t,28,435
2018-12-29,365,366,0,32.15,t,262,881
2019-02-02,365,366,0,7.2,t,29,123
2019-01-15,365,366,0,24,t,11,49
2019-02-02,365,366,0,5.8,t,29,179
2019-02-02,365,366,0,7.35,t,29,414
2019-01-30,37,45,23.75,23.75,t,4,435
2019-01-25,34,48,34.8,17.4,t,23,444
2019-02-19,76,92,45.6,1.9,t,4,534
2019-02-26,22,49,127.35,14.15,t,4,556
2019-02-19,39,47,17,8.5,t,12,29
2018-12-21,365,366,0,13.5,t,6,2
2019-02-22,14,20,40,16,t,3,144
2019-02-21,22,45,21.05,8.42,t,147,641
2019-02-25,365,366,0,18.7,t,135,328
