cost,delivered,price,quantity,customer_id,product_id
14.43,1/11/19,17.24,1,152218,291589
26.22,1/11/19,28.3,1,152218,291820
12.25,1/11/19,16.33,1,152218,291922
26.19,1/11/19,31.5,4,152226,291137
23.7,1/11/19,31.25,1,152233,291379
11.2,1/11/19,16,2,152233,292187
18.24,1/11/19,21.9,2,152236,291215
15.52,1/11/19,20.5,1,152239,291239
6.47,1/11/19,11.13,1,152239,291270
20.48,1/11/19,29.85,1,152239,291369
18.8,1/11/19,21,2,152239,291405
28.87,1/11/19,38.81,1,152239,291774
26.22,1/11/19,34.96,1,152239,291820
26.41,1/11/19,31.07,1,152239,291860
24.29,1/11/19,28.58,1,152239,291945
19.57,1/11/19,24.47,1,152239,291968
23.41,1/11/19,29.58,1,152239,292094
11.2,1/11/19,17.04,2,152239,292187
6.6,1/11/19,7.75,1,152242,290905
24.5,1/11/19,29,1,152242,290946
17.47,1/11/19,39.93,0.15,152242,291118
9.8,1/11/19,11.25,0.2,152242,291410
22.45,1/11/19,28.75,1,152242,291467
10.15,1/11/19,12.5,1,152242,291522
14.44,1/11/19,29.95,1,152242,291743
43.6,1/11/19,51,1,152242,291747
16.26,1/11/19,19.36,1,152242,291887
19.82,1/11/19,25.5,1,152242,291898
24.54,1/11/19,28.71,2,152242,291900
13.16,12/21/18,21.5,1,17,31
4.65,12/21/18,12.4,1,17,110
2.24,12/21/18,4,2,17,458
3.86,12/21/18,5.5,1,17,504
24.29,12/21/18,41.4,2,17,526
27.45,12/21/18,47.2,1,17,574
14.31,12/21/18,25,1,17,634
4.24,12/21/18,7.9,12,17,663
13.82,12/21/18,21,1,17,12123
8.22,12/21/18,17,1,17,269525
25.7,1/11/19,30.07,2,152242,291986
6.6,1/11/19,7.75,2,152242,292047
11.5,1/11/19,13.75,1,152242,292075
35,1/11/19,38.95,1,152242,296161
40.53,1/11/19,46.34,2,152255,290835
19.27,1/11/19,31.02,1,152258,291939
43.86,1/11/19,58.48,1,152258,292015
